index,itemid
0,4408031932
1,3956016452
2,703359188
3,305163062
4,1374128714
5,529908570
6,2072967236
7,2080411214
8,1374128714
9,9822888797
10,9759732861
11,6236236733
12,9759732861
13,9166426284
14,2080411214
15,1940944459
16,763810548
17,4399218743
18,3783387138
19,9229486931
20,703359188
21,3218280615
22,711469627
23,6236236733
24,9822888797
25,6294330127
26,3515128425
27,3220575497
28,690359862
29,4701055423
30,2511769470
31,3220575497
32,3515128425
33,9166426284
34,9957416524
35,9386208927
36,2511769470
37,763810548
38,4408031932
39,375769158
40,4701055423
41,6200807620
42,6236236733
43,2511769470
44,3956016452
45,8118458439
46,4607470383
47,3461493026
48,9940485929
49,3220575497
50,1374128714
51,4701055423
52,6236236733
53,1392095632
54,874764241
55,5620487691
56,6294330127
57,1940944459
58,874764241
59,8795946405
60,4348502244
61,3956016452
62,5620487691
63,9940485929
64,956399365
65,6200807620
66,3461493026
67,375769158
68,345449106
69,763810548
70,3956016452
71,8118458439
72,529908570
73,9957416524
74,6236236733
75,3515128425
76,3220575497
77,4607470383
78,3783387138
79,2080411214
80,3181161982
81,8795946405
82,4701055423
83,2072967236
84,3220575497
85,6729572748
86,9229486931
87,345449106
88,1940944459
89,1940944459
90,690359862
91,4399218743
92,2072967236
93,8795946405
94,6200807620
95,9229486931
96,9957416524
97,9822888797
