index,userid
0,12259123
1,52597537
2,581193
3,5235448
4,81978913
5,30779209
6,9378836
7,54959742
8,91543751
9,98943301
10,80213065
11,61861992
12,5235448
13,47110071
14,40377391
15,53441186
16,81978913
17,53441186
18,76637624
19,94593896
20,60006623
21,54360627
22,19099113
23,41880883
24,82264246
25,81978913
26,581193
27,14291686
28,76637624
29,89811493
30,40377391
31,52300049
32,13774343
33,91543751
34,30779209
35,52300049
36,82264246
37,12259123
38,12962501
39,977233
40,38617603
41,52597537
42,76527830
43,38617603
44,53441186
45,72341458
46,61755987
47,47110071
48,30779209
49,60006623
50,49752244
51,54959742
52,82363083
53,76606946
54,76606946
55,94593896
56,90309841
57,21504382
58,61861992
59,31133886
60,54360627
61,82363083
62,12259123
63,9378836
64,41880883
65,47110071
66,52597537
67,12259123
68,47504411
69,60006623
70,82264246
71,91543751
72,5235448
73,80213065
74,79439659
75,41880883
76,49752244
77,91543751
78,76527830
79,94593896
80,76606946
81,61861992
82,81978913
83,90309841
84,5235448
85,54360627
86,13774343
87,52300049
88,30779209
89,81978913
90,92209090
91,19099113
92,5235448
93,92209090
94,30779209
95,72341458
96,41880883
97,76527830
