userid,itemid,click_times,rating,purchase_times,is_favorite
12259123,874764241,7,5,5,0
89811493,3220575497,16,4,5,1
12962501,6986796112,12,2,1,0
581193,3461493026,15,4,2,0
98943301,1940944459,8,2,2,0
21504382,4432301809,4,3,1,0
49752244,4348502244,16,4,0,0
38617603,8118458439,6,4,1,1
55049969,1940944459,4,4,3,0
76527830,2072967236,17,1,1,1
61861992,9229486931,3,4,3,1
92209090,9822888797,10,4,5,1
581193,9229486931,20,1,2,1
60006623,529908570,9,2,5,1
81978913,8118458439,9,1,4,0
94593896,4408031932,18,1,2,0
98943301,345449106,9,3,0,0
94593896,6294330127,19,4,3,1
61755987,1392095632,16,2,4,0
14291686,6236236733,11,2,1,0
40377391,6986796112,4,2,3,1
47504411,3515128425,5,4,5,1
82264246,703359188,15,2,4,1
79439659,9822888797,9,4,0,1
72341458,2072967236,14,5,3,1
98943301,2511769470,12,1,4,1
12962501,6944455088,1,1,0,1
30248961,763810548,15,5,1,1
61755987,6200807620,6,5,0,1
81882917,9037846040,11,4,2,0
81978913,9386208927,10,4,1,0
9378836,763810548,4,4,2,1
12425038,6944455088,18,3,4,0
55049969,529908570,20,1,1,0
21504382,375769158,17,3,5,0
9378836,3783387138,17,3,5,1
72341458,9386208927,5,2,1,1
12259123,345449106,13,5,4,1
80213065,874764241,17,5,3,0
54959742,8795946405,1,2,4,1
67529438,9037846040,20,4,3,0
89811493,6729572748,18,2,3,0
31133886,9822888797,11,3,1,1
67529438,9386208927,17,1,4,1
94593896,3220575497,4,2,0,1
90309841,2409905658,17,4,3,0
52597537,3956016452,4,3,2,0
60006623,3181161982,19,4,1,1
21504382,7495204277,20,1,3,0
40377391,763810548,11,4,5,0
91543751,1940944459,2,5,3,0
38617603,9037846040,18,5,1,1
18827166,9822888797,9,4,3,0
13774343,3218280615,9,4,4,0
13774343,4701055423,5,3,0,1
14291686,5620487691,18,4,3,0
5235448,2511769470,3,4,0,1
19099113,4408031932,17,3,1,0
92209090,4701055423,9,2,2,1
54360627,1374128714,4,3,0,1
47504411,9957416524,11,4,3,1
18827166,3220575497,7,4,2,1
12259123,5620487691,7,4,1,1
49752244,7495204277,14,3,3,1
79439659,9759732861,8,1,4,1
60006623,6729572748,18,2,0,0
89811493,3181161982,11,5,4,0
12259123,8795946405,4,3,2,1
76637624,9166426284,18,3,1,0
40377391,345449106,16,1,4,0
72341458,3220575497,12,4,4,0
55049969,2409905658,2,2,1,0
581193,4432301809,3,4,1,1
61861992,375769158,3,4,0,0
52300049,9822888797,18,3,5,1
79439659,6944455088,14,1,1,0
91543751,763810548,12,3,2,1
55049969,3956016452,17,4,3,1
31133886,1392095632,17,1,5,0
14291686,8118458439,12,3,0,1
13774343,5694787669,20,4,5,1
92209090,1374128714,2,2,5,0
98943301,9037846040,14,3,2,0
5235448,4348502244,4,5,0,0
581193,763810548,15,2,0,1
47504411,4399218743,19,2,5,1
12425038,6236236733,13,5,4,0
9378836,9166426284,14,1,0,0
21504382,4408031932,19,5,1,1
98943301,4408031932,1,5,5,0
76606946,6200807620,8,1,2,0
82264246,6294330127,20,1,0,0
581193,4348502244,14,2,5,0
76606946,1374128714,16,2,0,1
21504382,6729572748,8,3,0,1
90309841,6236236733,6,1,0,0
79439659,375769158,9,5,2,0
31133886,2072967236,6,3,1,1
