itemid,item_type,price_range,is_delete
763810548,laptop,2,0
9957416524,charger,2,0
9166426284,mobile,1,0
711469627,speaker,4,0
3220575497,laptop,3,0
4408031932,headphone,4,0
8795946405,laptop,2,0
3783387138,laptop,3,0
1374128714,mouse,1,0
9822888797,mouse,0,0
8118458439,monitor,3,0
6294330127,keyboard,1,0
3461493026,mobile,2,0
1392095632,charger,2,0
3956016452,laptop,2,0
305163062,laptop,1,0
3218280615,laptop,4,0
9386208927,mobile,2,0
4607470383,headphone,3,0
2072967236,mouse,0,0
6729572748,speaker,0,0
1940944459,headphone,2,0
529908570,mouse,0,0
874764241,mobile,3,0
5620487691,mobile,3,0
3181161982,laptop,1,0
690359862,speaker,4,0
9229486931,keyboard,3,0
4399218743,laptop,3,0
6200807620,laptop,3,0
3515128425,speaker,3,0
703359188,mouse,3,0
9940485929,keyboard,2,0
2080411214,charger,3,0
375769158,headphone,4,0
4701055423,speaker,0,0
345449106,speaker,3,0
9759732861,speaker,2,0
2511769470,laptop,0,0
956399365,monitor,2,0
6236236733,charger,0,0
4348502244,mobile,3,0
255219880,mouse,2,0
7495204277,keyboard,1,0
4432301809,speaker,0,0
5694787669,speaker,1,0
6986796112,headphone,4,0
2409905658,charger,4,0
9037846040,charger,4,0
6944455088,mouse,4,0
