userid,age_range,gender
5235448,2000,1
90309841,2000,1
52300049,1980,1
12259123,2000,0
13774343,1990,0
581193,1990,0
76606946,1980,0
94593896,1990,0
82363083,2000,0
21504382,2000,0
30779209,1980,0
14291686,2000,0
76527830,1990,0
54959742,1990,0
60006623,1990,1
54360627,1980,0
9378836,1990,1
79439659,2000,0
61755987,1980,1
31133886,1980,1
977233,1980,1
91543751,1990,0
47110071,1990,0
76637624,1980,1
80213065,2000,1
38617603,1990,1
82264246,2000,0
98943301,1990,1
92209090,2000,1
47504411,1990,1
41880883,1990,0
12962501,1980,0
89811493,2000,0
40377391,1990,1
19099113,1980,1
52597537,2000,0
72341458,2000,1
49752244,1980,0
61861992,1980,0
53441186,1980,1
81978913,1990,0
12425038,1980,1
29477413,1990,0
67529438,2000,1
42299968,1980,1
68521062,2000,0
30248961,2000,1
81882917,1980,1
55049969,2000,1
18827166,1980,0
