itemid,item_type,price_range
0763810548,laptop,1M-5M
9957416524,charger,1M-5M
9166426284,mobile,500K-1M
0711469627,speaker,above-10M
3220575497,laptop,5M-10M
4408031932,headphone,above-10M
8795946405,laptop,1M-5M
3783387138,laptop,5M-10M
1374128714,mouse,500K-1M
9822888797,mouse,0-500K
8118458439,monitor,5M-10M
6294330127,keyboard,500K-1M
3461493026,mobile,1M-5M
1392095632,charger,1M-5M
3956016452,laptop,1M-5M
0305163062,laptop,500K-1M
3218280615,laptop,above-10M
9386208927,mobile,1M-5M
4607470383,headphone,5M-10M
2072967236,mouse,0-500K
6729572748,speaker,0-500K
1940944459,headphone,1M-5M
0529908570,mouse,0-500K
0874764241,mobile,5M-10M
5620487691,mobile,5M-10M
3181161982,laptop,500K-1M
0690359862,speaker,above-10M
9229486931,keyboard,5M-10M
4399218743,laptop,5M-10M
6200807620,laptop,5M-10M
3515128425,speaker,5M-10M
0703359188,mouse,5M-10M
9940485929,keyboard,1M-5M
2080411214,charger,5M-10M
0375769158,headphone,above-10M
4701055423,speaker,0-500K
0345449106,speaker,5M-10M
9759732861,speaker,1M-5M
2511769470,laptop,0-500K
0956399365,monitor,1M-5M
6236236733,charger,0-500K
4348502244,mobile,5M-10M
0255219880,mouse,1M-5M
7495204277,keyboard,500K-1M
4432301809,speaker,0-500K
5694787669,speaker,500K-1M
6986796112,headphone,above-10M
2409905658,charger,above-10M
9037846040,charger,above-10M
6944455088,mouse,above-10M
